State,County,County,State Profile,Jurisdiction Profile (R/B/M),County Profile,State Social Distancing Policy,state abbreviation,Pre-COVID Jail Population,Change,Percentage Change,Jail Incarceration Rate Per 100K,International Benchmark,Rate Reduction to Match Internatonal Norms,Add'l Jail Reduction to Match Pre-COVID Intn'l Avg,Jail rate is X time norm,Target Jail Population,Date of covid data,Jail Population (Latest),Resident population,Cases Per 100K Residents,COVID-19 Cases,Deaths Per 100K Residents,COVID-19 Deaths
Kentucky,"Butler, KY",Butler,23,R,0.8236514523,,KY,50,-11,-0.22,302.8185,35,-267.819,-34.4924,8.651958,4.50765,4/9/2020,39,12879,16,2,0,0
Kentucky,"Calloway, KY",Calloway,23,M,0.6857749469,,KY,181,-53,-0.29281768,328.1967,35,-293.197,-114.35,9.377049,13.65035,4/9/2020,128,39001,21,8,3,1
Kentucky,"Campbell, KY",Campbell,23,M,0.6310160428,,KY,607,-106,-0.174629325,535.3479,35,-500.348,-468.246,15.29565,32.7544,4/9/2020,501,93584,44,41,3,3
Kentucky,"Carroll, KY",Carroll,23,R,0.7004175365,,KY,151,-53,-0.350993377,921.8324,35,-886.832,-94.2792,26.33807,3.72085,4/9/2020,98,10631,19,2,0,0
Kentucky,"Carter, KY",Carter,23,M,0.76875,,KY,187,-5,-0.026737968,679.1805,35,-644.181,-172.621,19.40516,9.37895,4/9/2020,182,26797,4,1,0,0
Kentucky,"Christian, KY",Christian,23,R,0.6628630705,,KY,770,-142,-0.184415584,891.2732,35,-856.273,-603.339,25.46495,24.66135,4/9/2020,628,70461,64,45,0,0
Kentucky,"Clark, KY",Clark,23,R,0.6950578339,,KY,282,-102,-0.361702128,496.3737,35,-461.374,-167.308,14.18211,12.69205,4/9/2020,180,36263,30,11,0,0
Kentucky,"Crittenden, KY",Crittenden,23,R,0.8419421488,,KY,209,-91,-0.435406699,1339.995,35,-1305,-114.918,38.28558,3.0821,4/9/2020,118,8806,34,3,0,0
Kentucky,"Daviess, KY",Daviess,23,R,0.6712765957,,KY,709,-140,-0.197461213,560.5304,35,-525.53,-533.471,16.01515,35.52885,4/9/2020,569,101511,71,72,2,2
Kentucky,"Franklin, KY",Franklin,23,M,0.5243644068,,KY,292,-96,-0.328767123,384.3816,35,-349.382,-178.153,10.98233,17.84685,4/9/2020,196,50991,20,10,0,0
Kentucky,"Grant, KY",Grant,23,R,0.7918834547,,KY,211,-18,-0.085308057,769.8751,35,-734.875,-184.226,21.99643,8.77415,4/9/2020,193,25069,44,11,4,1
Kentucky,"Graves, KY",Graves,23,M,0.7933541018,,KY,138,15,0.108695652,410.5619,35,-375.562,-139.957,11.73034,13.0431,4/9/2020,153,37266,13,5,0,0
