State,CountyState,County,State_Profile,Jurisdiction_Profile,County_Profile,Stay_at_home_date,Stay_at_home,Business_Closures,State_Abbrev,PreCovid_Jail_Pop,Change_Pop,Percent_Change,Incarceration_Per_100K,International_Benchmark,Rate_Reduction_Match_Itnl_Norms,Add_Jail_to_Match_Pre-COVID_Intl_Avg,Jail_rate_is_X_time_norm,Target_Jail_Population,Date_Covid_Data,Jail_Population_Latest,Resident_population,Cases_Per_100K_Residents,COVID-19_Cases,Deaths_Per_100K_Residents,COVID-19_Deaths
California,"Los Angeles, California",Los Angeles,0.3474576271,B,0.246835443,3/19/2020 0:00,Yes,AllNonEssential,CA,17076,-4005,-0.234539705,130.2008,35,-95.2008,-9557.31,3.720024,3513.687,4/9/2020,13071,10039107,79,7955,2,223
California,"Marin, California",Marin,0.3474576271,B,0.1678986272,3/19/2020 0:00,Yes,AllNonEssential,CA,284,-126,-0.443661972,61.04487,35,-26.0449,-67.4109,1.744139,90.5891,4/9/2020,158,258826,60,154,4,10
California,"Merced, California",Merced,0.3474576271,R,0.4583772392,3/19/2020 0:00,Yes,AllNonEssential,CA,799,-112,-0.140175219,247.4071,35,-212.407,-589.812,7.068774,97.188,4/9/2020,687,277680,14,40,1,3
California,"Monterey, California",Monterey,0.3474576271,R,0.2895015907,3/19/2020 0:00,Yes,AllNonEssential,CA,870,-182,-0.209195402,158.5031,35,-123.503,-536.079,4.528659,151.9214,4/9/2020,688,434061,16,71,1,3
California,"Orange, California",Orange,0.3474576271,M,0.4591728526,3/19/2020 0:00,Yes,AllNonEssential,CA,5280,-1650,-0.3125,114.3058,35,-79.3058,-2518.51,3.26588,1111.492,4/9/2020,3630,3175692,34,1079,1,17
California,"Placer, California",Placer,0.3474576271,R,0.560298826,3/19/2020 0:00,Yes,AllNonEssential,CA,711,-129,-0.181434599,146.1104,35,-111.11,-442.585,4.174582,139.4152,4/9/2020,582,398329,30,120,1,4
California,"Riverside, California",Riverside,0.3474576271,M,0.4773445732,3/19/2020 0:00,Yes,AllNonEssential,CA,3828,-309,-0.080721003,142.4381,35,-107.438,-2654.31,4.069661,864.6911,4/9/2020,3519,2470546,52,1280,1,33
California,"San Francisco, California",San Francisco,0.3474576271,B,0.0990516333,3/19/2020 0:00,Yes,AllNonEssential,CA,1238,-472,-0.381260097,86.8925,35,-51.8925,-457.458,2.482643,308.5422,4/9/2020,766,881549,83,727,1,10
California,"Santa Clara, California",Santa Clara,0.3474576271,M,0.2218683652,3/19/2020 0:00,Yes,AllNonEssential,CA,3219,-789,-0.245107176,126.047,35,-91.047,-1755.25,3.601343,674.7482,4/9/2020,2430,1927852,75,1442,3,48
California,"Tehama, California",Tehama,0.3474576271,M,0.695329087,3/19/2020 0:00,Yes,AllNonEssential,CA,174,11,0.063218391,284.248,35,-249.248,-162.221,8.121373,22.7794,4/9/2020,185,65084,2,1,0,0
California,"Tulare, California",Tulare,0.3474576271,R,0.5638859556,3/19/2020 0:00,Yes,AllNonEssential,CA,1575,-417,-0.264761905,248.3939,35,-213.394,-994.832,7.096969,163.1683,4/9/2020,1158,466195,40,187,2,10
California,"Yuba, California",Yuba,0.3474576271,R,0.6297093649,3/19/2020 0:00,Yes,AllNonEssential,CA,376,-77,-0.204787234,380.0783,35,-345.078,-271.466,10.85938,27.5338,4/9/2020,299,78668,19,15,4,3
Florida,"Alachua, Florida",Alachua,0.5067079463,M,0.3815513627,4/3/2020 0:01,Yes,AllNonEssential,FL,724,-118,-0.162983425,225.2428,35,-190.243,-511.835,6.435509,94.16505,4/9/2020,606,269043,57,154,0,0
Florida,"Bradford, Florida",Bradford,0.5067079463,R,0.7528089888,4/3/2020 0:01,Yes,AllNonEssential,FL,180,-101,-0.561111111,280.1319,35,-245.132,-69.1297,8.003769,9.87035,4/9/2020,79,28201,71,20,0,0
Florida,"Gadsden, Florida",Gadsden,0.5067079463,B,0.3092573754,4/3/2020 0:01,Yes,AllNonEssential,FL,498,-372,-0.746987952,275.9527,35,-240.953,-110.019,7.884363,15.981,4/9/2020,126,45660,24,11,0,0
Florida,"Glades, Florida",Glades,0.5067079463,R,0.7020408163,4/3/2020 0:01,Yes,AllNonEssential,FL,69,0,0,499.6018,35,-464.602,-64.1662,14.27434,4.83385,4/9/2020,69,13811,29,4,7,1
Florida,"Hamilton, Florida",Hamilton,0.5067079463,R,0.64453524,4/3/2020 0:01,Yes,AllNonEssential,FL,83,-34,-0.409638554,339.6174,35,-304.617,-43.9502,9.703355,5.0498,4/9/2020,49,14428,7,1,0,0
Florida,"Hendry, Florida",Hendry,0.5067079463,R,0.5734840699,4/3/2020 0:01,Yes,AllNonEssential,FL,181,-13,-0.071823204,399.7906,35,-364.791,-153.292,11.42259,14.7077,4/9/2020,168,42022,31,13,0,0
